code,prov,area_ha,sp,elev_mean,elev_min,elev_max,elevF,perim,lat,long,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,sp_abrev,especie
AL008014,AL,113.8024764,PINUS NIGRA SSP SALZM.,1636.21,1448,1753,2medium,6595.85,37.28165,-2.61738,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,3,3,3,pnig_sal,P. nigra
AL008015,AL,158.7039272,PINUS NIGRA SSP SALZM.,1540.92,1368,1693,2medium,8491.65,37.28086,-2.64562,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,pnig_sal,P. nigra
AL008016,AL,144.726232,PINUS NIGRA SSP SALZM.,1708.85,1595,1872,3high,7268.41,37.27341,-2.65905,NA,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,5,0,1,2,pnig_sal,P. nigra
AL008017,AL,340.55393849999996,PINUS SYLVESTRIS,1715.79,1515,1902,3high,10206.25,37.27069,-2.61551,NA,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,4,2,psylv,P. sylvestris
AL008018,AL,96.0320352,PINUS NIGRA SSP SALZM.,1540.96,1301,1752,2medium,4545.48,37.27708,-2.62794,NA,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,2,0,0,3,pnig_sal,P. nigra
AL008019,AL,257.6150748,PINUS SYLVESTRIS,1721.2,1385,1926,3high,9856.69,37.26262,-2.63585,NA,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,2,2,5,1,3,2,psylv,P. sylvestris
AL008020,AL,79.1954442,PINUS SYLVESTRIS,1626.23,1465,1758,2medium,9523.89,37.26925,-2.64737,NA,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,psylv,P. sylvestris
AL008021,AL,178.54759750000002,PINUS PINASTER,1634.69,1410,1770,2medium,9907.77,37.26059,-2.60967,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,ppinas,P. pinaster
AL008022,AL,241.15334,PINUS SYLVESTRIS,1784.13,1582,1967,3high,10496.71,37.25643,-2.6583,NA,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,1,4,3,psylv,P. sylvestris
AL008023,AL,373.6549921,PINUS NIGRA SSP SALZM.,1836.49,1637,1956,3high,12734.5,37.24769,-2.62841,NA,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,2,2,3,5,2,3,3,pnig_sal,P. nigra
AL008024,AL,263.6416828,PINUS SYLVESTRIS,1885.63,1631,1966,3high,12718.88,37.24475,-2.64717,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,2,3,3,psylv,P. sylvestris
AL008025,AL,123.3323012,PINUS SYLVESTRIS,1862.54,1617,1963,3high,8159.74,37.24329,-2.65883,NA,1,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,2,2,2,2,3,5,2,5,2,psylv,P. sylvestris
AL008026,AL,7.6031618000000005,PINUS SYLVESTRIS,1917.42,1909,1925,3high,1099.81,37.23191,-2.65701,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,2,0,0,0,1,5,2,4,1,psylv,P. sylvestris
AL008027,AL,6.0205006,PINUS PINASTER,1331.52,1296,1359,2medium,1607.54,37.32558,-2.65067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,1,2,2,2,0,0,0,0,2,0,0,1,ppinas,P. pinaster
AL010001,AL,194.2094511,PINUS HALEPENSIS,350.55,233,439,0verylow,7461.05,36.98425,-2.56568,NA,4,4,3,0,1,0,0,3,0,0,0,0,0,0,1,1,1,2,1,2,0,0,2,1,0,0,phale,P. halepensis
AL011001,AL,64.3133407,PINUS HALEPENSIS,699.97,530,781,1low,5437.18,36.95273,-2.58188,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,2,1,2,2,2,3,0,2,2,phale,P. halepensis
AL011002,AL,531.6695005,PINUS HALEPENSIS,667.47,339,971,1low,24160.2,36.93589,-2.57586,NA,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,1,1,0,1,0,1,1,0,1,1,phale,P. halepensis
AL011003,AL,38.6193914,PINUS HALEPENSIS,867.66,758,956,1low,3034.81,36.9157,-2.58573,NA,1,3,1,1,2,2,1,0,2,2,1,0,0,0,1,1,1,1,1,2,0,0,1,0,2,2,phale,P. halepensis
AL011004,AL,115.85756780000001,PINUS HALEPENSIS,1017.73,880,1187,1low,6838.79,36.91457,-2.60326,NA,0,3,0,1,2,2,0,0,1,1,0,0,0,0,3,0,2,1,1,2,1,0,2,0,1,2,phale,P. halepensis
AL012001,AL,31.1306994,PINUS HALEPENSIS,777.75,711,984,1low,4115.98,36.94231,-2.60355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,1,2,1,0,1,1,1,2,0,2,2,phale,P. halepensis
AL012002,AL,60.9268217,PINUS HALEPENSIS,1042.03,868,1187,1low,3042.25,36.93671,-2.61367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,1,1,1,1,2,0,1,2,0,2,2,phale,P. halepensis
AL013001,AL,328.7934332,PINUS HALEPENSIS,1226.61,1065,1367,2medium,8749,36.99248,-2.31818,NA,1,1,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,phale,P. halepensis
AL013002,AL,218.23826549999998,PINUS HALEPENSIS,1134.9,839,1334,1low,7236.36,36.98259,-2.31596,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,phale,P. halepensis
AL014001,AL,201.6933747,PINUS HALEPENSIS,1317.46,1011,1614,2medium,8468.18,36.95078,-2.78612,NA,1,0,NA,1,5,1,3,1,1,3,0,1,1,1,2,1,1,2,3,1,2,0,2,2,2,2,phale,P. halepensis
AL018001,AL,29.2401637,PINUS HALEPENSIS,676.04,605,787,1low,2526.28,37.34591,-2.40357,NA,5,0,NA,1,2,0,0,1,1,1,0,0,0,0,1,1,1,2,0,1,2,1,3,4,2,2,phale,P. halepensis
AL018002,AL,23.8887908,PINUS HALEPENSIS,640.32,600,728,1low,1982.67,37.34634,-2.39904,NA,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,1,1,1,1,2,1,3,4,2,1,phale,P. halepensis
